countid,id,date,counts,
742483,100009426,4/1/2016 8:30,0,0
1085206,Williamsburg Bridge,4/1/2016 8:45,89,
1427943,Queensboro Bridge,4/1/2016 8:45,38,0
162023,100009424,4/1/2016 8:45,19,4
1770671,Manhattan Bridge,4/1/2016 8:45,65,4
1980403,100010017,4/1/2016 8:45,4,0
3008505,100010020,4/1/2016 8:45,15,0
3263260,100010022,4/1/2016 8:45,46,0
3810593,100047029,4/1/2016 8:45,65,4
4318056,100051865,4/1/2016 8:45,65,4
6124374,100058279,4/1/2016 8:45,29,4
6272693,100062893,4/1/2016 8:45,65,4
6958145,300020904,4/1/2016 8:45,46,4
742484,100009426,4/1/2016 8:45,0,0
1085207,Williamsburg Bridge,4/1/2016 9:00,78,
1427944,Queensboro Bridge,4/1/2016 9:00,48,0
162024,100009424,4/1/2016 9:00,17,4
1770672,Manhattan Bridge,4/1/2016 9:00,66,4
1980404,100010017,4/1/2016 9:00,1,0
3008506,100010020,4/1/2016 9:00,23,0
3263261,100010022,4/1/2016 9:00,44,0
3810594,100047029,4/1/2016 9:00,66,4
4318057,100051865,4/1/2016 9:00,66,4
6124375,100058279,4/1/2016 9:00,15,4
6272694,100062893,4/1/2016 9:00,66,4
6958146,300020904,4/1/2016 9:00,44,4
742485,100009426,4/1/2016 9:00,3,0
1085208,Williamsburg Bridge,4/1/2016 9:15,90,
1427945,Queensboro Bridge,4/1/2016 9:15,36,0
162025,100009424,4/1/2016 9:15,21,4
1770673,Manhattan Bridge,4/1/2016 9:15,73,4
1980405,100010017,4/1/2016 9:15,2,0
3008507,100010020,4/1/2016 9:15,11,0
3263262,100010022,4/1/2016 9:15,42,0
3810595,100047029,4/1/2016 9:15,73,4
4318058,100051865,4/1/2016 9:15,73,4
6124376,100058279,4/1/2016 9:15,30,4
6272695,100062893,4/1/2016 9:15,73,4
6958147,300020904,4/1/2016 9:15,42,4
742486,100009426,4/1/2016 9:15,1,0
1085209,Williamsburg Bridge,4/1/2016 9:30,84,
1427946,Queensboro Bridge,4/1/2016 9:30,48,0
162026,100009424,4/1/2016 9:30,16,4
1770674,Manhattan Bridge,4/1/2016 9:30,74,4
1980406,100010017,4/1/2016 9:30,0,0
3008508,100010020,4/1/2016 9:30,16,0
3263263,100010022,4/1/2016 9:30,37,0
3810596,100047029,4/1/2016 9:30,74,4
4318059,100051865,4/1/2016 9:30,74,4
6124377,100058279,4/1/2016 9:30,26,4
6272696,100062893,4/1/2016 9:30,74,4
6958148,300020904,4/1/2016 9:30,37,4
742487,100009426,4/1/2016 9:30,1,0
1085210,Williamsburg Bridge,4/1/2016 9:45,75,
1427947,Queensboro Bridge,4/1/2016 9:45,35,0
162027,100009424,4/1/2016 9:45,24,4
1770675,Manhattan Bridge,4/1/2016 9:45,60,4
1980407,100010017,4/1/2016 9:45,4,0
3008509,100010020,4/1/2016 9:45,15,0
3263264,100010022,4/1/2016 9:45,44,0
3810597,100047029,4/1/2016 9:45,60,4
4318060,100051865,4/1/2016 9:45,60,4
6124378,100058279,4/1/2016 9:45,28,4
6272697,100062893,4/1/2016 9:45,60,4
6958149,300020904,4/1/2016 9:45,44,4
742488,100009426,4/1/2016 9:45,0,0
1085211,Williamsburg Bridge,4/1/2016 10:00,60,
1427948,Queensboro Bridge,4/1/2016 10:00,42,0
162028,100009424,4/1/2016 10:00,18,4
1770676,Manhattan Bridge,4/1/2016 10:00,55,4
1980408,100010017,4/1/2016 10:00,2,0
3008510,100010020,4/1/2016 10:00,12,0
3263265,100010022,4/1/2016 10:00,30,0
3810598,100047029,4/1/2016 10:00,55,4
4318061,100051865,4/1/2016 10:00,55,4
6124379,100058279,4/1/2016 10:00,21,4
6272698,100062893,4/1/2016 10:00,55,4
6958150,300020904,4/1/2016 10:00,30,4
742489,100009426,4/1/2016 10:00,3,0
1085212,Williamsburg Bridge,4/1/2016 10:15,49,
1427949,Queensboro Bridge,4/1/2016 10:15,50,0
162029,100009424,4/1/2016 10:15,14,4
1770677,Manhattan Bridge,4/1/2016 10:15,41,4
1980409,100010017,4/1/2016 10:15,2,0
3008511,100010020,4/1/2016 10:15,7,0
3263266,100010022,4/1/2016 10:15,26,0
3810599,100047029,4/1/2016 10:15,41,4
4318062,100051865,4/1/2016 10:15,41,4
6124380,100058279,4/1/2016 10:15,17,4
6272699,100062893,4/1/2016 10:15,41,4
6958151,300020904,4/1/2016 10:15,26,4
742490,100009426,4/1/2016 10:15,3,0
1085213,Williamsburg Bridge,4/1/2016 10:30,45,
1427950,Queensboro Bridge,4/1/2016 10:30,41,0
162030,100009424,4/1/2016 10:30,19,4
1770678,Manhattan Bridge,4/1/2016 10:30,32,4
1980410,100010017,4/1/2016 10:30,1,0
3008512,100010020,4/1/2016 10:30,9,0
3263267,100010022,4/1/2016 10:30,18,0
3810600,100047029,4/1/2016 10:30,32,4
4318063,100051865,4/1/2016 10:30,32,4
6124381,100058279,4/1/2016 10:30,10,4
6272700,100062893,4/1/2016 10:30,32,4
6958152,300020904,4/1/2016 10:30,18,4
742491,100009426,4/1/2016 10:30,1,0
1085214,Williamsburg Bridge,4/1/2016 10:45,41,
